,destination,come_from,total,year,month
1016,Galicia,Foreign,52473,2008,Dec
1017,Galicia,Foreign,64758,2008,Nov
1018,Galicia,Foreign,117453,2008,Oct
1019,Galicia,Foreign,154864,2008,Sep
1020,Galicia,Foreign,179583,2008,Aug
1021,Galicia,Foreign,164380,2008,Jul
1022,Galicia,Foreign,146056,2008,Jun
1023,Galicia,Foreign,151093,2008,May
1024,Galicia,Foreign,111997,2008,Apr
1025,Galicia,Foreign,83854,2008,Mar
1026,Galicia,Foreign,71962,2008,Feb
1027,Galicia,Foreign,57337,2008,Jan
1028,Galicia,Foreign,64540,2007,Dec
1029,Galicia,Foreign,77109,2007,Nov
1030,Galicia,Foreign,137922,2007,Oct
1031,Galicia,Foreign,159532,2007,Sep
1032,Galicia,Foreign,196768,2007,Aug
1033,Galicia,Foreign,166534,2007,Jul
1034,Galicia,Foreign,167435,2007,Jun
1035,Galicia,Foreign,147701,2007,May
1036,Galicia,Foreign,112532,2007,Apr
1037,Galicia,Foreign,75938,2007,Mar
1038,Galicia,Foreign,65665,2007,Feb
1039,Galicia,Foreign,54884,2007,Jan
1040,Galicia,Foreign,56858,2006,Dec
1041,Galicia,Foreign,62252,2006,Nov
1042,Galicia,Foreign,111318,2006,Oct
1043,Galicia,Foreign,145052,2006,Sep
1044,Galicia,Foreign,183759,2006,Aug
1045,Galicia,Foreign,158986,2006,Jul
1046,Galicia,Foreign,135348,2006,Jun
1047,Galicia,Foreign,120865,2006,May
1048,Galicia,Foreign,95036,2006,Apr
1049,Galicia,Foreign,58458,2006,Mar
1050,Galicia,Foreign,54223,2006,Feb
1051,Galicia,Foreign,51223,2006,Jan
1052,Galicia,Foreign,56508,2005,Dec
1053,Galicia,Foreign,74247,2005,Nov
1054,Galicia,Foreign,112714,2005,Oct
1055,Galicia,Foreign,142141,2005,Sep
1056,Galicia,Foreign,186379,2005,Aug
1057,Galicia,Foreign,155130,2005,Jul
1058,Galicia,Foreign,141556,2005,Jun
1059,Galicia,Foreign,108811,2005,May
1060,Galicia,Foreign,85590,2005,Apr
1061,Galicia,Foreign,51815,2005,Mar
1062,Galicia,Foreign,42508,2005,Feb
1063,Galicia,Foreign,43939,2005,Jan
1064,Galicia,Foreign,44361,2004,Dec
1065,Galicia,Foreign,54438,2004,Nov
1066,Galicia,Foreign,109316,2004,Oct
1067,Galicia,Foreign,146292,2004,Sep
1068,Galicia,Foreign,179329,2004,Aug
1069,Galicia,Foreign,150307,2004,Jul
1070,Galicia,Foreign,134977,2004,Jun
1071,Galicia,Foreign,106010,2004,May
1072,Galicia,Foreign,68085,2004,Apr
1073,Galicia,Foreign,49958,2004,Mar
1074,Galicia,Foreign,57470,2004,Feb
1075,Galicia,Foreign,37396,2004,Jan
1076,Galicia,Foreign,44825,2003,Dec
1077,Galicia,Foreign,58651,2003,Nov
1078,Galicia,Foreign,88338,2003,Oct
1079,Galicia,Foreign,136980,2003,Sep
1080,Galicia,Foreign,171355,2003,Aug
1081,Galicia,Foreign,121978,2003,Jul
1082,Galicia,Foreign,100109,2003,Jun
1083,Galicia,Foreign,90099,2003,May
1084,Galicia,Foreign,71032,2003,Apr
1085,Galicia,Foreign,46516,2003,Mar
1086,Galicia,Foreign,35896,2003,Feb
1087,Galicia,Foreign,33460,2003,Jan
1088,Galicia,Foreign,45146,2002,Dec
1089,Galicia,Foreign,48371,2002,Nov
1090,Galicia,Foreign,79410,2002,Oct
1091,Galicia,Foreign,122168,2002,Sep
1092,Galicia,Foreign,165354,2002,Aug
1093,Galicia,Foreign,125335,2002,Jul
1094,Galicia,Foreign,98374,2002,Jun
1095,Galicia,Foreign,85721,2002,May
1096,Galicia,Foreign,72547,2002,Apr
1097,Galicia,Foreign,50341,2002,Mar
1098,Galicia,Foreign,36035,2002,Feb
1099,Galicia,Foreign,25169,2002,Jan
1100,Galicia,Foreign,39328,2001,Dec
1101,Galicia,Foreign,39454,2001,Nov
1102,Galicia,Foreign,72332,2001,Oct
1103,Galicia,Foreign,105840,2001,Sep
1104,Galicia,Foreign,154930,2001,Aug
1105,Galicia,Foreign,129386,2001,Jul
1106,Galicia,Foreign,96290,2001,Jun
1107,Galicia,Foreign,72837,2001,May
1108,Galicia,Foreign,63699,2001,Apr
1109,Galicia,Foreign,46066,2001,Mar
1110,Galicia,Foreign,44113,2001,Feb
1111,Galicia,Foreign,23445,2001,Jan
1112,Galicia,Foreign,43823,2000,Dec
1113,Galicia,Foreign,40475,2000,Nov
1114,Galicia,Foreign,74977,2000,Oct
1115,Galicia,Foreign,148247,2000,Sep
1116,Galicia,Foreign,150631,2000,Aug
1117,Galicia,Foreign,134774,2000,Jul
1118,Galicia,Foreign,90198,2000,Jun
1119,Galicia,Foreign,69551,2000,May
1120,Galicia,Foreign,56879,2000,Apr
1121,Galicia,Foreign,42249,2000,Mar
1122,Galicia,Foreign,26822,2000,Feb
1123,Galicia,Foreign,22555,2000,Jan
1124,Galicia,Foreign,29158,1999,Dec
1125,Galicia,Foreign,38124,1999,Nov
1126,Galicia,Foreign,70497,1999,Oct
1127,Galicia,Foreign,121168,1999,Sep
1128,Galicia,Foreign,133763,1999,Aug
1129,Galicia,Foreign,125667,1999,Jul
1130,Galicia,Foreign,92038,1999,Jun
1131,Galicia,Foreign,63051,1999,May
1132,Galicia,Foreign,54717,1999,Apr
1133,Galicia,Foreign,28117,1999,Mar
1134,Galicia,Foreign,21114,1999,Feb
1135,Galicia,Foreign,18199,1999,Jan
