come_from,year,trimester,avg_person_day,avg_person,percentage_Galicia,percentage_Spain
Emirates,2019,4,117.05,426.09,0.16,1.02
Emirates,2019,3,103.62,388.61,0.24,1.29
Emirates,2019,2,130.92,408.27,0.16,0.9
Emirates,2019,1,161.35,416.55,0.23,1.01
Emirates,2018,4,212.43,640.11,0.23,1.32
Emirates,2018,3,134.19,562.04,0.3,1.66
Emirates,2018,2,170.06,568.26,0.21,1.36
Emirates,2018,1,299.11,1054.84,0.49,3.42
Japan,2022,1,36.34,133.46,0.11,2.84
Japan,2021,4,44.16,155.57,0.1,3.36
Japan,2021,3,53.34,163.88,0.05,3.09
Japan,2021,2,65.17,148.36,0.04,2.13
Japan,2021,1,45.08,126.94,0.06,2.0
Japan,2020,4,65.96,155.97,0.07,3.03
Japan,2020,3,50.03,139.82,0.04,2.46
Japan,2020,2,0.0,0.0,0.0,0.0
Japan,2020,1,54.77,190.6,0.31,1.5
Japan,2019,4,67.78,250.74,0.35,2.1
Japan,2019,3,71.93,266.5,0.26,2.45
Japan,2019,2,78.98,248.81,0.36,2.57
Japan,2019,1,50.23,129.87,0.26,1.11
Japan,2018,4,62.32,201.71,0.31,2.07
Japan,2018,3,60.8,259.04,0.22,2.56
Japan,2018,2,90.0,291.79,0.4,3.57
