,accommodation,year,month,travellers,nights,avg_stay
398,Campings,2011,Aug,110500.0,413736.0,3.7
399,Campings,2011,Sep,15368.0,55416.0,3.6
400,Campings,2011,Oct,1215.0,2097.0,1.7
401,Campings,2011,Nov,392.0,598.0,1.5
402,Campings,2011,Dec,119.0,235.0,2.0
403,Campings,2012,Jan,207.0,387.0,1.9
404,Campings,2012,Jan,207.0,387.0,1.9
405,Campings,2012,Feb,386.0,667.0,1.7
406,Campings,2012,Mar,886.0,1392.0,1.6
407,Campings,2012,Apr,4108.0,12919.0,3.2
408,Campings,2012,May,3295.0,10195.0,3.1
409,Campings,2012,Jun,17871.0,65950.0,3.7
410,Campings,2012,Jul,68559.0,260889.0,3.8
411,Campings,2012,Aug,99587.0,374988.0,3.8
412,Campings,2012,Sep,16361.0,57540.0,3.5
413,Campings,2012,Oct,1019.0,1869.0,1.8
414,Campings,2012,Nov,362.0,638.0,1.8
415,Campings,2012,Dec,275.0,557.0,2.0
416,Campings,2013,Jan,94.0,169.0,1.8
417,Campings,2013,Feb,195.0,342.0,1.8
418,Campings,2013,Mar,998.0,2900.0,2.9
419,Campings,2013,Apr,1396.0,4303.0,3.1
420,Campings,2013,May,4281.0,10572.0,2.5
421,Campings,2013,Jun,18914.0,65024.0,3.4
422,Campings,2013,Jul,65622.0,251534.0,3.8
423,Campings,2013,Aug,108001.0,391129.0,3.6
424,Campings,2013,Sep,16971.0,56565.0,3.3
425,Campings,2013,Oct,953.0,1746.0,1.8
426,Campings,2013,Nov,596.0,1019.0,1.7
427,Campings,2013,Dec,324.0,667.0,2.1
428,Campings,2014,Jan,150.0,215.0,1.4
429,Campings,2014,Feb,191.0,262.0,1.4
430,Campings,2014,Mar,505.0,945.0,1.9
431,Campings,2014,Mar,505.0,945.0,1.9
432,Campings,2014,Apr,4067.0,10207.0,2.5
433,Campings,2014,May,5653.0,13123.0,2.3
434,Campings,2014,Jun,19383.0,68400.0,3.5
435,Campings,2014,Jul,67618.0,265287.0,3.9
436,Campings,2014,Aug,106444.0,389806.0,3.7
437,Campings,2014,Sep,15372.0,59795.0,3.9
438,Campings,2014,Oct,1099.0,1922.0,1.8
439,Campings,2014,Nov,578.0,929.0,1.6
440,Campings,2014,Dec,290.0,670.0,2.3
441,Campings,2015,Jan,155.0,305.0,2.0
442,Campings,2015,Jan,155.0,305.0,2.0
443,Campings,2015,Feb,175.0,325.0,1.9
444,Campings,2015,Mar,1133.0,2193.0,1.9
445,Campings,2015,Apr,3923.0,12389.0,3.2
446,Campings,2015,May,6227.0,17080.0,2.7
447,Campings,2015,Jun,30344.0,94748.0,3.1
448,Campings,2015,Jul,77713.0,281292.0,3.6
449,Campings,2015,Aug,93540.0,360648.0,3.9
450,Campings,2015,Sep,16637.0,62629.0,3.8
451,Campings,2015,Oct,833.0,1660.0,2.0
452,Campings,2015,Nov,453.0,765.0,1.7
453,Campings,2015,Dec,234.0,486.0,2.1
454,Campings,2016,Jan,144.0,274.0,1.9
455,Campings,2016,Feb,263.0,457.0,1.7
456,Campings,2016,Mar,2080.0,5756.0,2.8
457,Campings,2016,Apr,2755.0,8579.0,3.1
458,Campings,2016,May,4587.0,12359.0,2.7
459,Campings,2016,May,4587.0,12359.0,2.7
460,Campings,2016,Jun,28293.0,96150.0,3.4
461,Campings,2016,Jul,90415.0,336620.0,3.7
462,Campings,2016,Aug,117695.0,433567.0,3.7
463,Campings,2016,Sep,24427.0,66173.0,2.7
464,Campings,2016,Oct,1201.0,2570.0,2.1
465,Campings,2016,Nov,492.0,898.0,1.8
466,Campings,2016,Dec,157.0,238.0,1.5
467,Campings,2017,Jan,115.0,251.0,2.2
468,Campings,2017,Feb,149.0,259.0,1.7
469,Campings,2017,Mar,669.0,1124.0,1.7
470,Campings,2017,Apr,6887.0,16726.0,2.4
471,Campings,2017,May,6243.0,13892.0,2.2
472,Campings,2017,Jun,29305.0,87585.0,3.0
473,Campings,2017,Jul,81497.0,313381.0,3.9
474,Campings,2017,Aug,115120.0,421053.0,3.7
475,Campings,2017,Sep,22002.0,70820.0,3.2
476,Campings,2017,Oct,2059.0,4114.0,2.0
477,Campings,2017,Nov,438.0,891.0,2.0
478,Campings,2017,Dec,214.0,465.0,2.2
479,Campings,2018,Jan,111.0,186.0,1.7
480,Campings,2018,Feb,225.0,474.0,2.1
481,Campings,2018,Mar,1244.0,2993.0,2.4
482,Campings,2018,Apr,2643.0,5990.0,2.3
483,Campings,2018,May,6016.0,15637.0,2.6
484,Campings,2018,Jun,25065.0,84550.0,3.4
485,Campings,2018,Jul,75673.0,302665.0,4.0
486,Campings,2018,Aug,117518.0,434259.0,3.7
487,Campings,2018,Sep,30264.0,91806.0,3.0
488,Campings,2018,Oct,1626.0,4001.0,2.5
489,Campings,2018,Nov,293.0,582.0,2.0
490,Campings,2018,Dec,208.0,424.0,2.0
491,Campings,2019,Jan,108.0,226.0,2.1
492,Campings,2019,Feb,212.0,322.0,1.5
493,Campings,2019,Mar,666.0,1227.0,1.8
494,Campings,2019,Apr,5029.0,12240.0,2.4
495,Campings,2019,May,8367.0,16826.0,2.0
496,Campings,2019,Jun,31913.0,99033.0,3.1
497,Campings,2019,Jul,75487.0,311878.0,4.1
498,Campings,2019,Aug,113298.0,426105.0,3.8
499,Campings,2019,Sep,30516.0,106795.0,3.5
500,Campings,2019,Oct,1911.0,3336.0,1.8
501,Campings,2019,Nov,559.0,1032.0,1.9
502,Campings,2019,Dec,357.0,682.0,1.9
503,Campings,2020,Jan,207.0,368.0,1.8
504,Campings,2020,Jan,207.0,368.0,1.8
505,Campings,2020,Feb,236.0,393.0,1.7
506,Campings,2020,Mar,15.0,23.0,1.5
507,Campings,2020,Apr,0.0,0.0,0.0
508,Campings,2020,Apr,0.0,0.0,0.0
509,Campings,2020,Apr,0.0,0.0,0.0
510,Campings,2020,May,0.0,0.0,0.0
511,Campings,2020,May,0.0,0.0,0.0
512,Campings,2020,May,0.0,0.0,0.0
513,Campings,2020,Jun,16338.0,51272.0,3.1
