Comunidades y Ciudades Autónomas de destino	País de residencia	Periodo	Total
Galicia	Turquía	2018T1	254,13
Galicia	Resto del mundo	2022T1	273,90
Galicia	Resto del mundo	2021T4	248,56
Galicia	Resto del mundo	2021T3	287,41
Galicia	Resto del mundo	2021T2	244,19
Galicia	Resto del mundo	2021T1	297,41
Galicia	Resto del mundo	2020T4	389,08
Galicia	Resto del mundo	2020T3	367,79
Galicia	Resto del mundo	2020T2	.
Galicia	Resto del mundo	2020T1	426,85
Galicia	Resto del mundo	2019T4	426,02
Galicia	Resto del mundo	2019T3	375,74
Galicia	Resto del mundo	2019T2	406,59
Galicia	Resto del mundo	2019T1	318,48
Galicia	Resto del mundo	2018T4	423,65
Galicia	Resto del mundo	2018T3	430,98
Galicia	Resto del mundo	2018T2	358,48
Galicia	Resto del mundo	2018T1	528,21
