Tipo de alojamiento	Total Nacional	Comunidades y Ciudades Autónomas	Periodo	Total
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2006M08	2,52
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2006M07	2,42
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2006M06	2,06
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2006M05	1,98
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2006M04	2,02
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2006M03	2,00
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2006M02	1,96
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2006M01	1,97
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2005M12	1,98
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2005M11	2,02
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2005M10	2,07
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2005M09	2,19
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2005M08	2,50
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2005M07	2,32
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2005M06	2,09
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2005M05	2,00
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2005M04	1,96
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2005M03	2,06
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2005M02	1,92
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2005M01	2,03
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2004M12	2,05
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2004M11	2,03
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2004M10	2,05
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2004M09	2,18
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2004M08	2,43
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2004M07	2,30
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2004M06	2,12
